author,company
Dylan Burns,Player2.net.au
Jack Olohan,Switch Era
David Martinez,Hobby Consolas
Senja Littman,Fintendo
Justin Nation,Nindie Spotlight
Dom Reseigh-Lincoln,Nintendo Life
Juan Romero,SwitchWatch
Sam Spyrison,Hardcore Gamer
Muhammad Ali Bari,GearNuke
Alexander Morningstar,NintendoWorldReport
Kenneth Shepard,CGMagazine
Brendan Lowry,Windows Central
Javier Ulises Lopez,NoobFeed
Adam Riley,Cubed3
Gabriel Cavalcanti,Goomba Stomp
Sean Anthony,GamingTrend
Raymond Porreca,Destructoid
Seamus Mullins,Press Start
Kat Brewster,Guardian
Carlos G. Gurpegui,IGN Spain
Zach Snyder,Forever Classic Games
Jon Peltz,Jump Dash Roll
Isaac Monterose,COGconnected
Brad Lang,Critical Hit
Meghan Hughes,Jack of All Controllers
Maddy Myers,Kotaku
Thomas Hughes,TheSixthAxis
Colin Campbell,Polygon
Andrew King,Bloody Disgusting
Corey Hoffmeyer,Screen Rant
Jake Green,USgamer
Mick Fraser,God is a Geek
Richard Costa,TechRaptor
Víctor Rodríguez,Areajugones
Nathan Birch,Wccftech
Kenneth Araullo,Player.One
Javy Gwaltney,Game Informer
Chris Jecks,Twinfinite
Edwin Evans-Thirlwell,Eurogamer
Mike Epstein,IGN
Ricky Knight,COGconnected
Josh Tolentino,Destructoid
Patryk Dzięglewicz,PPE.pl
Sarwar Ron,NoobFeed
Josh Di Falco,Cubed3
Martin Bago,SomHráč.sk
Kevin Miller,Thumb Culture
Stephanie Sung,COGconnected
Amirhossein Dehnavi,Pixel Arts
Jacob James,VGChartz
Chuck Osborn,Rapid Reviews UK
Connor Trinske,Screen Rant
Kevin Mitchell,SelectButton
Manuel Fritsch,GamePro
Jarrett Green,PlayStation LifeStyle
Jez Corden,Windows Central
Darryn Bonthuys,Critical Hit
Chris Hyde,God is a Geek
John Cal McCormick,Push Square
Lloyd Coombes,The Digital Fix
Glenn Gugliotti,Player2.net.au
Mohammad Aria Moghaddam,Gamefa
Shahab Zareei,Pardis Game
Ishan Dey,Spiel Times
James Wood,PowerUp!
Sancho Canela,33bits
William Gallon,GameSpace
Adam Abou-Nasr,NintendoWorldReport
Chris Hinton,Nintendo Enthusiast
Ewan Wilson,Pixel Dynamo
James Wynne,The Game Fanatics
Ben Ward,Next Gen Base
James Darrall,Game Debate
Matt Young,GameGrin
Jamie Frier,games(TM)
Nicholas Plouffe,COGconnected
Keri Honea,ActionTrip
Liam Croft,The Digital Fix
Chris Selogy,SmashPad
Lance Liebl,GameZone
Daniel Carreras,VGChartz
Morgan Bates,NZGamer
Joshua Murney,SelectButton
Cody Long,Niche Gamer
Trevor Ruben,High-Def Digest
Andrew Dyce,Game Rant
Bill Hess,Attack of the Fanboy
Nick Pace,KeenGamer
Nikos Papakonstantinou,Enternity.gr
Brendan Quinn,CGMagazine
Bronwyn James,8-Bit Island
Lewis Langton,Rapid Reviews UK
Dylan Blight,Explosion Network
Damien Booth,NookGaming
David Wildgoose,GameSpot
Matin Nasiri,Pixel Arts
Jan Kalný,INDIANTVCZ
Andrew McMahon,Twinfinite
Lilith Jewett,Sequential Planet
Jose A. Rodríguez,IGN Spain
Lucas Moura,Hu3br
Adam Rorke,Player2.net.au
Jamie Laike Tsui,Capsule Computers
Иван Бышонкoв,3DNews
Alberto Morales Palencia,GaminGuardian
Marcus Estrada,Hardcore Gamer
Darren Pearce,Games Xtreme
C J Lehr,LadiesGamers.com
Alberto Martin,NoesPaisparaFrikis
John Rairdin,NintendoWorldReport
Nathan Carter,Gaming Nexus
Daniel Young,Gamerheadquarters
Andrew Ogley,TrueAchievements
Martin Patiño,GamingBolt
Nicole Hall,Push Square
Edgar Wulf,TheXboxHub
Jack McCaskill,PlayStation Universe
Florian Zandt,GamePro
Alex Avard,GamesRadar+
Blake Grundman,PlayStation LifeStyle
Roberto Turrini,The Games Machine
Rebecca Stow,TheSixthAxis
Taylor Hidalgo,MMOGames
Robert N. Adams,TechRaptor
Clayton Daley,Nation Fusion
Jack Bampfield,GameSpew
Elise Favis,Game Informer
Mario Baccigalupi,The Games Machine
Alireza Mahzoon,Pardis Game
Eric Ace,Cubed3
Emanuele Feronato,The Games Machine
Scott Baird,Screen Rant
Jonathan Logan,RPG Fan
Quinn Hiers,But Why Tho?
Issa Maki,VGChartz
Tyler Chancey,TechRaptor
Lucas White,Prima Games
Alex Fuller,RPGamer
Dominick Ashtear,Nintendo Enthusiast
Farley Santos,GameBlast
Emily Byrnes,GameSpace
Dewan Zawad,GamesCreed
Ben Sheene,Digital Chumps
Benjamine Branscum,Digital Chumps
Jop van der Steen,Daily Nintendo
José L. Ortega,Hobby Consolas
David Lloyd,NintendoWorldReport
Rob Kershaw,Jump Dash Roll
John-Paul Jones,GameWatcher
Emily Sowden,GameSpew
Alex Varankou,New Game Network
Steven McCullough,The Digital Fix
Matt Gardner,Dealspwn
Shaun Joy,TechRaptor
Jeff Kintner,Gaming Nexus
Sam Welch,Game Debate
Danny Adams,Gamers FTW
Michael Huber,GameTrailers
Chaz Miller,Twinfinite
Brian Connor,COGconnected
Cassidee Moser,CGMagazine
Stephanie Tang,GameSkinny
Chaz Neeler,We Got This Covered
Alex Hamilton,GameGrin
Martin Robinson,Eurogamer
Dennis Scimeca,Daily Dot
Gil Almogi,Game Revolution
Rob Zacny,IGN
Reid McCarter,Kill Screen
Matt Liebl,GameZone
Niko DelValle,GamingTrend
Zachary Atwood,Gaming Nexus
Marc Deschamps,ComicBook.com
Ben Moore,Easy Allies
Vasilis Papaspiliou,Enternity.gr
Miguel Samson,Too Much Gaming
Nick Petrasiti,The Digital Fix
Martin Kubeš,SomHráč.sk
Ján Kordoš,SECTOR.sk
Jordan Hawes,WayTooManyGames
Cody Peterson,Screen Rant
Jordan Garcia,WellPlayed
Dan Rizzo,DASHGAMER.com
Konrad Noga,Gamerweb.pl
Emil Gunnarsson,Cultured Vultures
Jose Andres Cardona,GuiltyBit
Martín Rodríguez,Nerfeados
Δημήτρης Σαλαμάρας,Unboxholics
Estela Villa,Chicas Gamers
Claudio Albero,Player.it
Lucas White,Cheat Code Central
Beatrice Vogt,Gamer's Palace
Ethan Anderson,TrueAchievements
Damien Gula,GameSpace
Gary Bailey,God is a Geek
Ben Knowles,DarkZero
Seyyed Mohammad Reza Mojab,Pardis Game
Lisa Mior,CGMagazine
Samuel Guglielmo,TechRaptor
Dylan Chaundy,GameGrin
战术大米,Gamersky
Dave Irwin,TheSixthAxis
James Paley,COGconnected
Daniel Quesada,Hobby Consolas
Holly Green,Paste Magazine
Jason D'Aprile,GameSpot
Ryan Craddock,Nintendo Life
CJ Andriessen,Destructoid
Adam Rosenberg,Digital Trends
Aaron Conwell,Nintendo Times
José Vicente Mendiola Marcos,33bits
Caitlin Cooke,Destructoid
Jordan Rudek,NintendoWorldReport
David Aedo,FourFaceButtons
Dan Murphy,God is a Geek
Jaz Rignall,USgamer
سجاد باقریان,Gamefa
Alex Legard,Video Chums
Matthew Zawodniak,NintendoWorldReport
David Flynn,GamingTrend
Chelsea Beardsmore,Nintendo Link
Joshua Callaghan,Rapid Reviews UK
Scott MacDonald,Hey Poor Player
Joel DeWitte,NintendoWorldReport
Marcos Ramon,Nintendo Blast
Jay Castello,"Rock, Paper, Shotgun"
Poch Saldana,GamingTrend
Stefano Calzati,The Games Machine
Oliver Reynolds,Nintendo Life
Jordan Helm,Hardcore Gamer
Timothy Hyldahl,Gamer Escape
Ivanir Ignacchitti,Noisy Pixel
Tom Wilson,The Game Crater
Jaz Sagoo,COGconnected
Omi Koulas,Checkpoint Gaming
Mattia Fiore,Serial Gamer Italia
Zoey Handley,Destructoid
Aria DiMezzo,Cubed3
Anthony Bacchus,Pure Xbox
Jason Noonan,The Skinny
Calum Marsh,Kill Screen
Andrew Phillips,The Digital Fix
Richard Lee Breslin,PushStartPlay
Bill Braun,High-Def Digest
Joshua Bruce,Cheat Code Central
Matt Maguire,Gameplanet
Kirk McKeand,gameranx
Wayne Santos,CGMagazine
Mollie L Patterson,EGM
Michael Harradence,PlayStation Universe
Shawn Petraschuk,COGconnected
Chad Goodmurphy,We Got This Covered
Daniel Kaszor,Post Arcade (National Post)
Nathaniel Stevens,Digital Chumps
Tom Mc Shea,GameSpot
Matt Helgeson,Game Informer
Anthony Severino,PlayStation LifeStyle
Simon Miller,VideoGamer
Adam Pavlacka,Worth Playing
Dan Yuill,Rapid Reviews UK
Redmond Carolipio,Worth Playing
Alex Santa Maria,TechRaptor
Anthony Mann,ZTGD
Kyle LeClair,Hardcore Gamer
Diego Nicolás Argüello,GameSkinny
Pramath,GamingBolt
Kevin Arbelo,Area Xbox
Eric Hall,New Game Network
Lyle Carr,God is a Geek
Sebastian Hawden,PlayStation Universe
PJ O'Reilly,Nintendo Life
Martynas Klimas,PC Invasion
Stefano Castelli,IGN Italy
Philip Hayton,Daily Star
Adrian Burrows,TheSixthAxis
Greg Hicks,FingerGuns
Azario Lopez,Noisy Pixel
Chris Moyse,Destructoid
Mike O'Neill,XboxEra
Russell Archey,Gaming Nexus
John Whitehouse,ZTGD
Darren Palma,Nintendo Insider
Kevin McClusky,Destructoid
Adam Bankhurst,Marooners' Rock
Pedro Meleiro,FNintendo
Josh Hobbs,Real Game Media
Steven McGehee,Digital Chumps
Christian DeCoster,GamingTrend
Andrew Gonzalez,Nintendo Enthusiast
Alex McCumbers,Marooners' Rock
Mike Guarino,Attack of the Fanboy
Gareth Fidler,Cubed3
Isaac Rouse,PCMag
Gareth Gallagher,The Digital Fix
Gabriel Franco,VideoTime
Robby Bisschop,ThisGenGaming
Daire Hardesty,Elite Gamer
Raúl Pinto,Chicas Gamers
Thiago de Alencar Moura,PSX Brasil
Vectorarrow8,Red Value Gaming
Ehsan Nakhoda,Bazimag
Dave Horobin,TrueAchievements
Nicole Hall,SquareXO
Ben Smith,Handsome Phantom
Lewis Painter,Tech Advisor
Nick Moreno,Rectify Gaming
Hadyn Green,Gameplanet
Michael Poelzl,Continue-Magazin
Zach Jackson,WellPlayed
Eric Frederiksen,TechnoBuffalo
Hans Haupt,Vamers
Anna Duncan,GameGrin
Sina Rabiee,Pardis Game
Tony Hsiang,NZGamer
Shaan Joshi,We Got This Covered
Zac Davies,Electric Bento
"Chris White,Mikhail Madnani",God is a Geek
Jaime Carrillo,Pure Nintendo
Daniel Lipscombe,Nintendo Insider
Oliver Reynolds,Switch Player
Robert Lashley,GameSpace
Cascassus,Red Value Gaming
Trysten Schlottmann,TheXboxHub
Kelly Packard,TrueAchievements
Joe Gribble,Respawning
Mathias Gomez,Spoil Everything
Dave Acuna,Sirus Gaming
Florian Zandt,Superlevel
Ryan Porter,The Digital Fix
Kell Andersen,Push Square
Chris Carter,CGMagazine
Cody Gravelle,Game Rant
Hektor Apostolopoulos,Enternity.gr
Genghis Husameddin,XboxEra
Alex Santa Maria,Screen Rant
Farley Santos,Nintendo Blast
Jordan Brewer,Nintendo Times
Andrew Peggs,Marooners' Rock
Dave Letcavage,Pure Xbox
David Lovato,Cubed3
Cyril Lachel,Gaming Nexus
Chris Holzworth,EGM
Philip Hartmeyer,GamingBolt
Brett Phipps,VideoGamer
Anthony John Agnello,Digital Trends
Britton Peele,GameSpot
Christian Law,We Got This Covered
Anthony Schultz,GameSkinny
Robert Steinman,RPG Fan
Adam Biessener,Game Informer
Ryan Stevens,GameTrailers
Philip Kollar,Polygon
Seb Hawden,Rapid Reviews UK
Diogo Caeiro,FNintendo
Steven Weber,GameSpace
Claudio Magistrelli,The Games Machine
Tom Hopkins,Twinfinite
James O'Connor,GameSpot
Ben Kuchera,Polygon
Kelsy Polnik,VGChartz
Daryl Leach,Use a Potion
Greyson Ditzler,GameSkinny
Jordan Oloman,Daily Star
Diego Escala,MonsterVine
Miguel Moran,TheSixthAxis
Andre Cole,Gaming Fyx
Jordan Aslett,PC Invasion
Andrew Duncan,GameGrin
Miri Teixeira,TheSixthAxis
Andrew King,GameSpot
Marcus Stewart,Game Informer
Cristina Bona ,Everyeye.it
Hatem Amer,WhatIfGaming
Mark Delaney,GameSkinny
Josh Boykin,GotGame
Abbi Ruggles,JumpCut PLAY
Morgan Shaver,Prima Games
Ben Williams,KeenGamer
Tony Bae,COGconnected
Becca Smith,GameSpew
Elena Kua ,LadiesGamers.com
Kyle Foley,But Why Tho?
John Friscia,Nintendo Enthusiast
Alana Hagues,RPG Fan
Jesse Taylor,Pure Nintendo
Zach Holmes,EIP Gaming
Jason Quinn,oprainfall
Gabriele Carollo,Everyeye.it
Philipp Weinbrecht,pressakey.com
Karel Šír,SomHráč.sk
Denis Mačor,SECTOR.sk
Giovanni Colantonio,Inverse
Brian Seymour,MonsterVine
Jonathan Bolding,IGN
David Oña,IGN Spain
Danielle Winter,GameGrin
Moises Taveras,Paste Magazine
Kyuman Kim,INVEN
Sophie Hunt,Rapid Reviews UK
Cory Tischbein,RPG Fan
Kevin Fox Jr.,Paste Magazine
Pascal Tekaia,RPGamer
Jacob Geller,Polygon
Fran San Nicolás,SomosXbox
Mehdi Reazaei,Gamefa
Luke Holland,Guardian
علی گودرزی,Zoomg
Bruno Ribeiro,PSX Brasil
Denis Burčík,SomHráč.sk
Francesco Muccino,Everyeye.it
Eric Hauter,Gaming Nexus
Chris Inglis,GameOnAUS
Andrew Reiner,Game Informer
Giuseppe Genga,MondoXbox
Alex Beaty,Checkpoint Gaming
Logan Moore,DualShockers
Steven Strom,PC Gamer
Leah B. Jackson,IGN
Tyler Hicks,GameSpot
Cole Smith,Cheat Code Central
Ron Burke,GamingTrend
Quintin Smith,Eurogamer
Rich McCormick,GamesRadar+
Dennis Röger,GAMEtainment
André Pereira,FNintendo
Hooshan Torabi,Switching Worlds
Lynn Caramella,GamePitt
Matt Rushton,AbsoluteXbox
Simone Rampazzi,The Games Machine
Ralph Whitmore,GameSpace
Lane Martin,CGMagazine
Bryan Vitale,RPG Site
Jonas Kretli,The Game is a Lie
Daniele Spelta,Spaziogames
Eric Hauter,PlayStation Universe
Lloyd Owen,COGconnected
Kenny McKee,Hey Poor Player
Damaso Scibetta,IGN Italy
Kyle Nicol,WayTooManyGames
محمد صادق تواضعی,Zoomg
Arana Judith,WellPlayed
Carlos Cabrita,Game Forces PT
Ed Orr,GameSpace
Gustavo Souza,GameBlast
John Schutt,GameSkinny
David Wildgoose,IGN
Денис Щенников,3DNews
Icilio Bellanima,Everyeye.it
Steven Scaife,Slant Magazine
Jason Rodriguez,PC Invasion
Lise Leitner,Checkpoint Gaming
Ali Rezazadeh,Bazimag
Kristian Longden,GamingTrend
Brian McDonald,8-Bit Island
Samuel Taylor,Sick Critic
Adam Siddiqui,NoobFeed
Dustin Furman,Handsome Phantom
Josef Jakubiak,Respawning
Elizabeth Henges,RPG Site
Tom Bond,GBAtemp
Brian Myers,SwitchWatch
Humad Ali Shah,GearNuke
Albert Manjón,IGN Spain
William Murphy,GameSpace
Jason English,TechRaptor
Mark Sammut,GameSpew
Michael Riser,Goomba Stomp
Ryan Tessier,COGconnected
Brian McDonald,NZGamer
"Mike Hallam	",Rapid Reviews UK
Connor Nichols,Seafoam Gaming
Kirk Hiner,Pure Nintendo
Audra Bowling,RPG Fan
Bruno Ricardo Nunes Neves,Game Forces PT
David Lloyd,The Thirsty Mage
Soul Kiwami,Final Weapon
Cullen Black,RPG Site
Danilo Dellafrana,The Games Machine
Craig Majaski,Nintendo Times
Sina Golab Zade,Bazimag
Daniel Horváth,neXGam
Greg Newbegin,PowerUp!
Jamie Kirk,Impulsegamer
Jonathan Bushle,Gameblog
Danial Arshad Khan,GearNuke
Lucas White,PlayStation LifeStyle
Todd Rigney,We Got This Covered
Stan Rezaee,8Bit/Digi
David Poole,GotGame
Ali Haider,Twisted Voxel
Matthew Gigante,GameGrin
Joey Thurmond,DrJoeystein
Stephen Krusel,Bit Cultures
Stuart Alt,GameCynic
Scott Armstrong,Multiplayer
Sian Bailey,The Digital Fix
Charlie Nicholson,New Game Network
Scott Malcomson,TechRaptor
Joshua Wise,The Game Fanatics
Zoe Hawkins,Critical Hit
Steven Santana,DualShockers
Ray Carsillo,EGM
Angelo D'Argenio,GameCrate
Alexander Chatziioannou,The A.V. Club
William Dixon,CGMagazine
Lizzy Finnegan,The Escapist
Daniel Bloodworth,Easy Allies
Matt De Azevedo,Goomba Stomp
PJ O'Reilly,God is a Geek
Cameron Kunzelman,Paste Magazine
Joey Davidson,TechnoBuffalo
Benjamin Guthrie,Black Red Gaming
Jeff Gerstmann,Giant Bomb
Miguel Teixeira,Fun Factor
Scott Posey,Father Nerds Best
Tereza Krečová,INDIANTVCZ
Pat Cotter,Gaming Fyx
Rourke Keegan,Rely On Horror
Felipe Mesquita,Reloading BR
Rahul Shirke,IND13
Agustín Raluy,NoesPaisparaFrikis
Harry Kalogirou,Doublejump
Richard Shivdarsan,GameGrin
Jon Sutton,Game Debate
Daniel Walter,Mighty Games Mag
Jukka Piira,Darkstation
Σάκης Καρπάς,Unboxholics
Roberto Pineda,33bits
Alberto Desfassiaux,Atomix
Kasra Karimi Tar,BaziCenter
Kevin Tucker,Shacknews
Steve Boxer,Guardian
Aaron Gerrity,Nintendo Now
Jay Petrequin,Hey Poor Player
Pranay Parab,Gadgets 360
Dario Bianchi,Everyeye.it
Seumidh MacDonald,Cubed3
Nikola Suprak,Cubed3
Manuel Piçarra,FNintendo
Ben Stegner,Nintendo Life
Patrick Murphy,The Outerhaven Productions
Donnie Reece,Play Some Video Games
Federico Elli,Checkpoint
Jonathan White,KnowTechie
Luke Brown,Arcade Sushi
Kieffer Wilson,DarkZero
Baz Macdonald,Gameplanet
Alberto Cordero,SomosXbox
Reagan Morris,NZGamer
Matt Fernandez,PlayStation Universe
Joe Donato,GameZone
Yann Bernard,Gameblog
Harold Morris,GBAtemp
Nikodem Sobas,PPE.pl
Daniel Stroński,PPE.pl
Marcello Apostolico,Push Square
Marsh Davies,PC Gamer
Jose Otero,IGN
Anthony Taormina,Game Rant
Sean O'Sullivan,CGMagazine
Dan Ryckert,Game Informer
Sam Machkovech,Ars Technica
Giancarlo Saldana,GamesRadar+
Jon Denton,Eurogamer
Zack Kotzer,Kill Screen
Stephanie Carmichael,GamesBeat
Josh Harmon,EGM
Graham Smith,"Rock, Paper, Shotgun"
Patrick Hancock,Destructoid
Maxwell McGee,GameSpot
Marc Deschamps,Nintendojo
Drew Meadows,Electric Bento
Ryan Welch,GameOctane
Alan Bell,Gameplanet
Nick Hanchet,Switch Player
Mike Cripe,OnlySP
Alan Wen,GameGrin
Sophie Halliday,ZTGD
Tyler Wilde,PC Gamer
Chris Jarrard,Shacknews
Chris Patrick,The Digital Fix
Patrick Anderson,COGconnected
Hailey McKay,Checkpoint Gaming
Nathanael Hueso,Sick Critic
Joel Couture,CGMagazine
Daan Koopman,NintendoWorldReport
Evan Chambers,Nintendo Life
Joey Thurmond,Push Square
Joshua Kowbel,We Got This Covered
Josh Wirtanen,Cheat Code Central
Seth Cano,Pure Nintendo
Tyler Higgs,Switch Atlantic
Rashaad Johnson,But Why Tho?
Rebecca Hills-Duty,OnlySP
Ken Talbot,Push Square
Garri Bagdasarov,PlayStation Universe
Rachael Fiddis,DualShockers
Luis López Zamorano,IGN Spain
Zubi Khan,CGMagazine
Valentino Cinefra,Spaziogames
Maurício Katayama,GameBlast
Lily Bass,GameSpace
Will Freeman,PCGamesN
Vincent Elmer-Haerrig,Gameblog
Joseph Bradford,MMORPG.com
Rosh Kelly,Wccftech
Jody Macgregor,PC Gamer
Alex Santa Maria,Game Revolution
Cecilia D'Anastasio,Kotaku
Florian Reich,Gaming Masters
Alessandro De Vita,VGN
Simon Riley,The Digital Fix
Michael Keener,Worth Playing
Lynley James,Nexus
Carlos Santuana,TheXboxHub
Edward Darling,WellPlayed
Gabriel Bogdan,Cerealkillerz
Ahmed Mohamed,PlayStation LifeStyle
Jim Hargreaves,TheSixthAxis
Adam Grochocki,NEOsite
agent86ix,Without the Sarcasm
Carston Carasella,Goomba Stomp
Fraser Brown,PC Gamer
Roman Klein,SomHráč.sk
James Boote,GameGrin
Darren Nakamura,Destructoid
Fran Soto,Worth Playing
Βάσω Κοζαδίνου,Unboxholics
Travis Northup,GamingTrend
Paul Rooney,AbsoluteXbox
Philip Neyman,Handsome Phantom
Marko Swanepoel,SA Gamer
Christian Vaz,Wccftech
Jordan Leendertsen,Rely On Horror
David Cruz García,Areajugones
Linda Sprenger,GamePro
Evan Bee,SwitchRPG
Scott Sullivan,COGconnected
Adrien Montgomery,GBAtemp
Edward Love,We Got This Covered
Georgina Young,TechRaptor
Vian De Bod,GameSkinny
Leif Johnson,IGN
Jordan Moseley,Gamers FTW
Paul Sullivan,COGconnected
Holly Hardy,Pixel Dynamo
Manuel Morais,FNintendo
Brent Galietti,VGChartz
Derrick Bitner,GameXplain
Guillaume Veillette,NintendoWorldReport
Jill Scharr,Tom's Guide
Greg Srisavasdi,Arcade Sushi
Katie Allen,Game Debate
Joe Pring,GameGrin
Alex Moore,New Game Network
Steve Heisler,The A.V. Club
Alex Navarro,Giant Bomb
Quibian Salazar-Moreno,GameCrate
Robert Workman,Shacknews
Marsh Davies,"Rock, Paper, Shotgun"
Hadyn Green,NZGamer
Peter Bourke,Impulsegamer
William Murphy,MMORPG.com
Dyani Wood,PlayStation LifeStyle
Sean Hannley,Hardcore Gamer
Benjamin Jeanotte,TechRaptor
Maciej Miszczyk,Niche Gamer
Tom Bitterman,Gaming Nexus
Mike Williams,USgamer
Steven Wong,Shacknews
Richie Shoemaker,Eurogamer
Richard Cobbett,PC Gamer
Alex Langley,Arcade Sushi
Doug Mercer,COGconnected
Fraser Brown,PCGamesN
Nick Horth,GameWatcher
Adam Smith,"Rock, Paper, Shotgun"
Jonathan Bolding,The Escapist
Daniel Starkey,GameSpot
Sam Brooke,Push Square
Nuno Nêveda,FNintendo
Fox Doucette,GameSkinny
Sandy Wilson,Cubed3
Sam Turner,Cubed3
Cory Wells,Hardcore Gamer
Jowi Meli,PlayStation LifeStyle
Elisabeth López,Hobby Consolas
Jason Frye,Pure Playstation
Breanna Corrigan,Chalgyr's Game Room
Peter Taylor,The Digital Fix
Marcello Paolillo,Spaziogames
Chris McMullen,GameSpew
Mehdi Zadnane,Press Start
Dan Webb,Xbox Achievements
Brian Shea,Game Informer
Cody Orme,CGMagazine
David Soriano,IGN Spain
Stuart Gollan,Stevivor
Jessica Eudy,Jump Dash Roll
Callum Johnston,Doublejump
Daniel Nichols,New Game Network
Aza Hudson,WellPlayed
Jonathan Trussler,Hey Poor Player
Adam Conner,KeenGamer
Thomas Hughes,GameGrin
Franky Abraham,CFG Games
Sarah Ellen,Player2.net.au
Charles Kyle,Planet PlayStation
Chris Schilling,PC Gamer
Alexander Pan,GameSpot
Aron Gerencser,GameWatcher
Chelsea Beardsmore,Rapid Reviews UK
David Restrepo,JumpCut PLAY
Marco Cocomello,Glitched Africa
Mazen Abdallah,VGProfessional
Jessie Ljunggren,GBAtemp
Daniel Garrod,Jump Dash Roll
Chris Leebody,Cubed3
Bogdan Robert Mateș,NoobFeed
Callum Williams,Thumbsticks
Steve Millward,AbsoluteXbox
Nick Cowen,Critical Hit
Konstantinos Kalkanis,Enternity.gr
Momoka Truong,Rely On Horror
Mohammad Taghavi,Pardis Game
Nathan Grayson,Kotaku
John Tucker,RPG Fan
Eduardo Rebouças,Entertainium
Victor Carozzi Lima,Nintendo Blast
Stephen Heller,Impulsegamer
Nic Bunce,Daily Star
Pranavsingh Dhunnoo,GBAtemp
Lisa Marie Segarra,Digital Trends
Jordan Gottman,The Digital Fix
Dani Viñambres,GuiltyBit
Rhett Waselenchuk,COGconnected
Jade King,TrustedReviews
Mack Ashworth,Game Revolution
Brett Medlock,Nintendo Enthusiast
Andrew Cathie,Rocket Chainsaw
Jennifer Engelhardt,GamesFinest
Arkadyuti Bandyopadhyay,Spiel Times
Chinh Tran,VGChartz
Alex Atkin,MSPoweruser
Jeff Cork,Game Informer
Dan Alcazar,COGconnected
Colm Ahern,VideoGamer
Robert Purchese,Eurogamer
Dante Douglas,Paste Magazine
Keza MacDonald,Guardian
Austin Suther,TechRaptor
Mohamad Shokri,BaziCenter
Asher Madan,Windows Central
Alexander Thomas,COGconnected
JC Suttun,Daily Mirror
Azralynn,Azralynn
Jason Eliason,Attack of the Fanboy
Edward Smith,The Digital Fix
Wesley Scott,GameSpew
Shawn Zipay,Total Gaming Network
Stuart Thomas,Game Debate
Dan Griliopoulos,TrustedReviews
Alexander Chatziioannou,Slant Magazine
John Jacques,Game Rant
Ricardo Oyón Rodríguez,33bits
Jamie Snow,NoesPaisparaFrikis
John Campbell,Geeks Under Grace
Kevin Austin,Play Some Video Games
Bryan Rose,NintendoWorldReport
Rudy Lavaux,Cubed3
Mike Diver,Nintendo Life
Justin Celani,Saving Content
Alex Stinton,Push Square
Alex Tudor,Digital Chumps
Kevin Christmann,pressakey.com
Krzysztof Chrzastowski,RPG Fan
Dan Marcucci,4 Guys with Quarters
Róbert Herda,SomHráč.sk
Paul Renshaw,TheXboxHub
Neil Flynn,Cubed3
James Robinson,Darkstation
Craig M. Patten,Thumb Culture
Andrew Pierce,Impulsegamer
Dean James,Attack of the Fanboy
Stan Ewing,Games Xtreme
João Pardal,FNintendo
Blair Farrell,Electric Bento
عصام الشهوان,Saudi Gamer
Tobias Veltin,GamePro
Jared McClure,Jack of All Controllers
Mahdi Eftekhari,Bazimag
Erickson Melchor,PlayStation Galaxy
Tom Phillips,Eurogamer
Nic Bunce,TheSixthAxis
Michael Damiani,Easy Allies
Kevin McDonald,VGChartz
Andres Ruiz,Twinfinite
Sean Smith,God is a Geek
Anthony Vigna,Nintendojo
Liam Cook,Cubed3
Thomas Whitehead,Nintendo Life
Chris Watters,GameSpot
Alasdair Duncan,Destructoid
Dalton McClain,oprainfall
Kasjan Nowak,Gamerweb.pl
Jason Coles,GameSkinny
Ben Chard,Gamer Guides
Mike Epstein,Digital Trends
Jesus Mendoza,VideoTime
Blake Hawthorn,GameGrin
Javier Reyeros,Respawning
Richard Christie,PSX Extreme
Harris Iqbal,PushStartPlay
Aidan Bates,Invision Community
Andrew Phillips,Jump Dash Roll
Jack Dewitt,DVS Gaming
Matthew Arcilla,Too Much Gaming
Excelle Escalada,GameHaunt
Kenneth Lee,GameCloud
Chris Capel,GameWatcher
Jordan Oloman,Quillstreak
Grzegorz Cyga,NEOsite
Rebecca Smith,TrueAchievements
Boris Bulj,GameNationSA
Christopher Underwood,Goomba Stomp
Stephen Hudson,The Digital Fix
Oscar Nino,Nerfeados
Vikki Blake,GamesRadar+
Erwin Bantilan,GamingPH
Matt Gosper,Stevivor
احسان ناخدا,BaziCenter
Devin Tyus,Play Some Video Games
Jeff Meier,Super Deformed Gamescast
Abdul Ahmad,Saving Content
Tim Norman,Rocket Chainsaw
Danial Dehghani,Gamefa
"Eddie Stubbington,Kiwy",Gaming Masters
Tim Stanton,Gameplanet
Robin Parker,Next Gen Base
Megan Walton,TrueAchievements
Facundo Precentado,Guns & Pixels
Jordan Aslett,Gamer Professionals
Vasilis Kamakaris,Enternity.gr
Corey Plante,Inverse
Mohammed Ahmed Alsharif,ElderPlayers 
Steven Mattern,Cubed3
Sean Halliday,MonsterVine
Mahmood Ghaffar,Lords Of Gaming 
Alanna Lataillade,PlayStation LifeStyle
Sean Christie,Sirus Gaming
Bobby Pashalidis,Console Creatures
Dayna Eileen,CGMagazine
Alessandro Bruni,Everyeye.it
Bruno Henrique Vinhadel,PSX Brasil
Sanghyun Bae,IGN Korea
Dylan Wilby,TechRaptor
Elliot Hilderbrand,Gaming Nexus
Huzaifah Durrani,eXputer
Sergio Blasco,Battle4play.com
Holly Hudspeth,GamingTrend
Johnny Hurricane,Gamers Heroes
Jaihoon Jeong,INVEN
